timeSeries,lon,lat
"2748",-153.57198,57.646957
"2749",-152.41354,57.637585
"2750",-152.36362,57.627983
"2751",-152.33006,57.627537
"2752",-152.31328,57.62731
"2753",-152.2965,57.627083
"2754",-152.27972,57.62685
"2755",-152.26294,57.626617
"2756",-152.22939,57.626144
"2757",-152.19539,57.634613
"2775",-155.75511,57.64428
"2776",-155.70518,57.65393
"2777",-154.29407,57.647346
"2778",-154.27728,57.647385
"2779",-154.2437,57.647453
"2780",-153.85742,57.656567
"2781",-153.70631,57.647346
"2782",-153.68953,57.647305
"2783",-153.65594,57.647217
"2784",-153.63914,57.64717
"2785",-153.58867,57.655968
"2786",-152.42993,57.64675
"2787",-152.31242,57.645214
"2788",-152.26207,57.64452
"2789",-152.24573,57.635334
"2790",-152.1786,57.63437
"2791",-152.16182,57.634125
"2792",-152.14503,57.633873
"2806",-155.75555,57.653233
"2807",-155.70561,57.662884
"2808",-155.68883,57.663113
"2809",-155.67203,57.663338
"2810",-154.21022,57.665424
"2811",-154.10938,57.656597
"2812",-154.05899,57.65663
"2813",-154.00859,57.656647
"2814",-153.9918,57.656647
"2815",-153.95819,57.665592
"2816",-153.84062,57.656544
"2817",-153.82382,57.65652
"2818",-153.80702,57.656498
"2819",-153.79024,57.65647
"2820",-153.77344,57.65644
"2821",-153.75664,57.65641
"2822",-153.73984,57.656376
"2823",-153.72304,57.656338
"2824",-153.67265,57.656216
"2825",-153.60527,57.67393
"2826",-152.41275,57.65549
"2841",-155.67245,57.672287
"2842",-155.63885,57.672733
"2843",-155.62206,57.672955
"2844",-155.58846,57.67339
"2845",-154.19347,57.674404
"2846",-154.1598,57.665497
"2847",-154.143,57.66552
"2848",-154.1262,57.665535
"2849",-154.1094,57.665554
"2850",-154.0422,57.665592
"2851",-154.0086,57.674553
"2852",-153.62198,57.682934
"2853",-153.48776,57.664547
"2854",-152.4967,57.656532
"2855",-152.44594,57.664864
"2856",-152.41194,57.673393
"2874",-155.60565,57.682125
"2875",-155.57205,57.682552
"2876",-154.17665,57.67443
"2877",-153.63869,57.69194
"2878",-153.47069,57.682384
"2879",-152.47876,57.68318
"2880",-152.47954,57.66528
"2881",-152.42874,57.673607
"2903",-153.72269,57.701107
"2904",-153.70587,57.70107
"2905",-153.67232,57.69203
"2906",-153.52112,57.68259
"2907",-153.47055,57.691338
"2908",-152.46156,57.69193
"2909",-152.41154,57.682343
"2910",-152.39473,57.68213
"2930",-155.55563,57.691715
"2931",-153.80673,57.71022
"2932",-153.73952,57.701145
"2933",-153.47029,57.709248
"2954",-153.85716,57.719242
"2955",-153.78986,57.719147
"2956",-153.75627,57.710133
"2957",-153.53758,57.709515
"2958",-153.4871,57.709316
"2959",-153.41997,57.70007
"2960",-153.40315,57.69999
"2961",-152.46118,57.70088
"2982",-155.58966,57.70024
"2983",-155.57285,57.700455
"2984",-153.85713,57.728195
"2985",-153.82352,57.7192
"2986",-153.53746,57.718468
"2987",-153.48698,57.71827
"2988",-153.41953,57.72693
"2989",-152.52844,57.70169
"2990",-152.46078,57.70983
"3013",-155.60687,57.708977
"3014",-155.35529,57.729874
"3015",-153.87393,57.737167
"3016",-153.50368,57.72729
"3017",-153.43622,57.73596
"3018",-152.52806,57.710644
"3019",-152.47722,57.71899
"3020",-152.4604,57.71878
"3034",-155.62451,57.72666
"3035",-155.33879,57.73901
"3036",-153.89073,57.746136
"3037",-153.48685,57.727222
"3038",-153.45291,57.744987
"3039",-153.18391,57.72561
"3040",-153.15004,57.734337
"3041",-152.54451,57.71979
"3042",-152.52695,57.737495
"3058",-155.6081,57.735832
"3059",-155.37245,57.738644
"3060",-155.33913,57.74796
"3061",-155.28862,57.748493
"3062",-153.90758,57.74615
"3063",-153.55406,57.736435
"3064",-153.46976,57.74506
"3065",-153.21698,57.752686
"3066",-153.16666,57.743404
"3067",-152.50974,57.74625
"3068",-152.4929,57.746048
"3069",-152.47606,57.745842
"3070",-152.46,57.727734
"3085",-155.60892,57.75373
"3086",-155.3728,57.747597
"3087",-155.30579,57.757267
"3088",-153.89072,57.75509
"3089",-153.55373,57.763294
"3090",-153.48647,57.75408
"3091",-153.16646,57.752357
"3092",-152.84677,57.74086
"3093",-152.8128,57.749496
"3113",-155.4072,57.76512
"3114",-155.28894,57.757442
"3115",-153.90753,57.764057
"3116",-153.46948,57.762966
"3117",-153.16624,57.76131
"3118",-152.86333,57.749966
"3119",-152.8125,57.75845
"3120",-152.47568,57.754795
"3137",-155.60933,57.762684
"3138",-155.4581,57.773495
"3139",-155.44125,57.77369
"3140",-155.40755,57.774075
"3141",-155.27243,57.766567
"3142",-153.9075,57.77301
"3143",-153.53676,57.772186
"3144",-153.46935,57.77192
"3145",-153.3684,57.762497
"3146",-153.21638,57.77954
